episode_idx,topic,round,message,response,knowledge,gold
664,Skiing,4,What meaning did ski have? That's so interesting! Did they ski for recreation?,Rodney Dangerfield was born in 1894 on a small livestock and dairy farm near,"Cross-country skiing is a form of skiing where skiers rely on their own locomotion to move across snow-covered terrain, rather than using ski lifts or other forms of assistance.","I think skiing was originally a purely utilitarian activity, and it was first started in the mid-1800's as a recreational sport. "
665,Goldendoodle,4,Has it been successful for that purpose?,"No, it has not been successful.",Dander is a protein that sheds from the skin and causes allergies in humans.,"Yes, it has. Their coats do not shed, so it reduces allergies in humans."
666,Insane Clown Posse,4,"That sounds really interesting, I never knew this genre exists, I used to listen to Rap before in general.",The Insane Clown Posse were founded in Detroit and are known as horrorcore,"While exaggerated violence and the supernatural are common in horrorcore, the genre also frequently presents more realistic yet still disturbing portrayals of mental illness and drug abuse.",Horrorcore is what they call a subgenre of hip hop.  It usually has a horror them and dark lyrical content.
667,Kurt Cobain,3,Ohh wow I didn't know that he was on Nirvana.,"Swift died, aged 44, in the Munich air disaster after reporting on Manchester United's European","The Seattle Police Department incident report states: ""Kurt Cobain was found with a shotgun across his body, had a visible head wound and there was a suicide note discovered nearby.""","Yes, Cobain was the lead singer and guitarist and the founding member of Nirvana"
668,Elvis Presley,3,Personally I always preferred Johnny Cash over Elvis but you cannot deny that he had the moves,The Spurs lost in the first round of the playoffs to the Los Angeles Clippers in,"Presley's first RCA single, ""Heartbreak Hotel"", was released in January 1956 and became a number one hit in the United States.",I mean he was a pioneer of uptempo rockabilly music. It don't get much better than that.
669,American football,4,Oh! I think I get it! Does each player have a different role to play on the team? Do some kick and some block?,"No, he was not a natural fit in Atlanta.","American football, referred to as football in the United States and Canada, and also known as gridiron football or simply gridiron, is a team sport played by two teams of eleven players on a rectangular field with goalposts at each end.","Essentially, yes! There are those who block for the quarterback, who throws the ball to the wide receivers to catch it, or he can give it to the running back to carry it. And the defense has both those to rush the quarterback and to guard the receivers. Interestingly, this all started from evolving from rugby football!"
670,Hunting,3,"It does sound fun, but I think I'd have a hard time killing an animal unless I absolutely had to!",No.,"Hunting wildlife or feral animals is most commonly done by humans for food, recreation, to remove predators that are dangerous to humans or domestic animals, or for trade.","I do it because I live out in the middle of nowhere, so I need food. Others might do it just for fun, or to trade."
671,Cardigan (sweater),3,"I remember as a kid, watching Mr. Roger's Neighborhood.  He always wore a cardigan.  They were knitted by his mom.","Herbert Alexander Simon was born in Milwaukee, Wisconsin, on June 15, 1916. His father, Arthur","Synthetic fibers (British English: synthetic fibres) are fibers made by humans with chemical synthesis, as opposed to natural fibers that humans get from living organisms with little or no chemical changes.",Cool I didn't know that! They were actually popularized by Coco Chanel who disliked for tight-necked mens sweaters messed up her hair when removed.
672,Accounting,3,"Wow, I had no idea they've been around so long. I've only been working for a few months since I finished school. Do you know what kind of things they do?",Maria Lea Carmen Imutan Salonga was born at Medical Center Manila in Ermit,"The terms ""accounting"" and ""financial reporting"" are often used as synonyms.",they measure process and communicate financial information about economic entities like business and corporations. a good field for people who love math
673,Bodybuilding supplement,4,"Burns a lot of calories too. Much more than running I think,per hour ",The Jay Leno Show would be shortened to 30 minutes and begin airing weeknight,The training focuses on performing quality weight training repetitions to the point of momentary muscular failure.,HIT created in the 70's by Arthur Jones also burns calories. 
674,Paramedic,3,I am attending School of Paramedics. Can you teach me something about it?,No,"Occupational stress can increase when workers do not feel supported by supervisors or colleagues, or feel as if they have little control over work processes.",Well I can definitely tell you Paramedics have to know tons of knowledge and have skills to take care of patients while transporting them.
